scenario,policy,step_idx,controller_queue,controller_latency_ms,attack_leakage_rate,critical_slice_survival_rate,ai_deadline_miss_rate,overall_sla_rate
mixed_failure,throughput_first,3,617,23.784,1.0,0.6667,0.1667,0.5333
mixed_failure,throughput_first,4,748,27.488,1.0,0.0,0.5,0.4
mixed_failure,throughput_first,5,932,33.276,1.0,0.0,0.5,0.4
mixed_failure,throughput_first,6,1122,38.668,0.6667,0.0,0.5,0.4
mixed_failure,throughput_first,7,1259,41.868,0.6667,0.0,0.5,0.4
mixed_failure,throughput_first,8,1394,45.624,0.6667,0.0,0.5,0.4
mixed_failure,throughput_first,9,1574,51.204,1.0,0.0,0.8333,0.2667
mixed_failure,throughput_first,10,1772,56.964,0.6667,0.0,1.0,0.2
mixed_failure,throughput_first,11,1926,60.748,0.6667,0.0,1.0,0.2
mixed_failure,throughput_first,12,2077,64.94,0.6667,0.0,1.0,0.2
mixed_failure,throughput_first,13,2277,71.128,1.0,0.0,1.0,0.2
mixed_failure,throughput_first,14,2483,76.968,1.0,0.0,1.0,0.2
mixed_failure,throughput_first,15,2646,81.016,0.6667,0.0,1.0,0.2
mixed_failure,throughput_first,16,2809,85.58,0.6667,0.0,1.0,0.2
mixed_failure,throughput_first,17,3015,91.864,0.6667,0.0,1.0,0.2
mixed_failure,security_only,0,122,9.42,0.0,1.0,0.0,0.6
mixed_failure,security_only,1,293,14.796,0.0,1.0,0.0,0.4667
mixed_failure,security_only,2,459,19.384,0.0,1.0,0.0,0.5333
mixed_failure,security_only,3,577,22.112,0.0,1.0,0.0,0.6667
mixed_failure,security_only,4,706,25.856,0.0,0.6667,0.1667,0.4667
mixed_failure,security_only,5,872,30.948,0.0,0.0,0.5,0.3333
mixed_failure,security_only,6,1044,35.836,0.0,0.0,0.5,0.3333
mixed_failure,security_only,7,1171,38.852,0.0,0.0,0.5,0.3333
mixed_failure,security_only,8,1296,42.328,0.0,0.0,0.5,0.3333
mixed_failure,security_only,9,1482,48.268,0.0,0.0,1.0,0.3333
mixed_failure,security_only,10,1670,53.556,0.0,0.0,1.0,0.2667
mixed_failure,security_only,11,1814,57.06,0.0,0.0,1.0,0.2667
mixed_failure,security_only,12,1955,60.972,0.0,0.0,1.0,0.1333
mixed_failure,security_only,13,2145,66.88,0.0,0.0,1.0,0.0
mixed_failure,security_only,14,2333,72.12,0.0,0.0,1.0,0.0667
mixed_failure,security_only,15,2478,75.664,0.0,0.0,1.0,0.1333
mixed_failure,security_only,16,2623,79.724,0.0,0.0,1.0,0.0667
mixed_failure,security_only,17,2811,85.504,0.0,0.0,1.0,0.0667
mixed_failure,failure_aware,0,65,7.824,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,1,179,11.604,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,2,288,14.596,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,3,349,15.728,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,4,421,17.876,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,5,530,21.372,0.0,1.0,0.0,0.4
mixed_failure,failure_aware,6,645,24.664,0.0,0.6667,0.1667,0.3333
mixed_failure,failure_aware,7,715,26.084,0.0,0.6667,0.1667,0.3333
mixed_failure,failure_aware,8,783,27.964,0.0,0.0,0.5,0.2
mixed_failure,failure_aware,9,912,32.308,0.0,0.0,1.0,0.1333
mixed_failure,failure_aware,10,1043,36.0,0.0,0.0,1.0,0.1333
mixed_failure,failure_aware,11,1130,37.908,0.0,0.0,1.0,0.2
mixed_failure,failure_aware,12,1214,40.224,0.0,0.0,1.0,0.2
mixed_failure,failure_aware,13,1347,44.536,0.0,0.0,0.8333,0.0667
mixed_failure,failure_aware,14,1478,48.18,0.0,0.0,0.8333,0.0667
mixed_failure,failure_aware,15,1566,50.128,0.0,0.0,1.0,0.0
mixed_failure,failure_aware,16,1654,52.592,0.0,0.0,1.0,0.0
mixed_failure,failure_aware,17,1785,56.776,0.0,0.0,1.0,0.0
